1,1,201,"[0, 1, 2, 3, 4, 5]"
1,2,200,"[0, 1, 2, 3, 4, 5]"
1,3,186,"[0, 1, 2, 3, 4, 5]"
1,4,201,"[0, 1, 2, 3, 4, 5]"
1,5,200,"[0, 1, 2, 3, 4, 5]"
1,6,186,"[0, 1, 2, 3, 4, 5]"
1,7,201,"[0, 1, 2, 3, 4, 5]"
1,8,200,"[0, 1, 2, 3, 4, 5]"
1,9,176,[0]
1,10,176,[0]
1,11,176,[0]
1,12,176,[0]
1,13,176,[0]
1,14,176,[0]
1,15,176,[0]
1,16,176,[0]
1,17,176,[0]
1,18,176,[0]
1,19,176,[0]
1,20,176,[0]
1,21,176,[0]
1,22,176,[0]
1,23,176,[0]
1,24,176,[0]
1,25,176,[0]
1,26,176,[0]
1,27,176,[0]
1,28,176,[0]
1,29,176,[0]
1,30,176,[0]
1,31,176,[0]
1,32,176,[0]
1,33,176,[0]
1,34,176,[0]
1,35,176,[0]
1,36,176,[0]
1,37,176,[0]
1,38,176,[0]
1,39,176,[0]
1,40,176,[0]
1,41,176,[0]
1,42,176,[0]
1,43,201,"[0, 1, 2, 3, 4, 5]"
1,44,200,"[0, 1, 2, 3, 4, 5]"
1,45,186,"[0, 1, 2, 3, 4, 5]"
1,46,201,"[0, 1, 2, 3, 4, 5]"
1,47,200,"[0, 1, 2, 3, 4, 5]"
1,48,186,"[0, 1, 2, 3, 4, 5]"
1,49,201,"[0, 1, 2, 3, 4, 5]"
1,50,200,"[0, 1, 2, 3, 4, 5]"
1,51,177,[0]
1,52,145,[0]
1,53,145,[0]
1,54,147,[0]
1,55,177,[0]
1,56,177,[0]
1,57,177,[0]
1,58,177,[0]
1,59,177,[0]
1,60,177,[0]
1,61,177,[0]
1,62,177,[0]
1,63,177,[0]
1,64,177,[0]
1,65,177,[0]
1,66,177,[0]
1,67,177,[0]
1,68,177,[0]
1,69,177,[0]
1,70,177,[0]
1,71,177,[0]
1,72,177,[0]
1,73,177,[0]
1,74,177,[0]
1,75,177,[0]
1,76,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,77,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,78,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,79,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,80,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,81,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,82,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
1,83,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,84,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,85,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,86,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,87,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,88,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,89,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,90,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,91,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,92,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,93,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,94,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,95,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,96,177,[0]
1,97,177,[0]
1,98,177,[0]
1,99,177,[0]
1,100,177,[0]
2,1,187,"[0, 1, 2, 3, 4, 5]"
2,2,188,"[0, 1, 2, 3, 4, 5]"
2,3,186,"[0, 1, 2, 3, 4, 5]"
2,4,187,"[0, 1, 2, 3, 4, 5]"
2,5,188,"[0, 1, 2, 3, 4, 5]"
2,6,186,"[0, 1, 2, 3, 4, 5]"
2,7,187,"[0, 1, 2, 3, 4, 5]"
2,8,188,"[0, 1, 2, 3, 4, 5]"
2,9,176,[0]
2,10,176,[0]
2,11,201,"[0, 1, 2, 3]"
2,12,200,"[0, 1, 2, 3]"
2,13,176,[0]
2,14,176,[0]
2,15,201,"[0, 1, 2, 3]"
2,16,200,"[0, 1, 2, 3]"
2,17,176,[0]
2,18,176,[0]
2,19,201,"[0, 1, 2, 3]"
2,20,200,"[0, 1, 2, 3]"
2,21,176,[0]
2,22,176,[0]
2,23,201,"[0, 1, 2, 3]"
2,24,200,"[0, 1, 2, 3]"
2,25,176,[0]
2,26,176,[0]
2,27,201,"[0, 1, 2, 3]"
2,28,200,"[0, 1, 2, 3]"
2,29,176,[0]
2,30,176,[0]
2,31,201,"[0, 1, 2, 3]"
2,32,200,"[0, 1, 2, 3]"
2,33,176,[0]
2,34,176,[0]
2,35,201,"[0, 1, 2, 3]"
2,36,200,"[0, 1, 2, 3]"
2,37,176,[0]
2,38,176,[0]
2,39,201,"[0, 1, 2, 3]"
2,40,200,"[0, 1, 2, 3]"
2,41,176,[0]
2,42,176,[0]
2,43,187,"[0, 1, 2, 3, 4, 5]"
2,44,188,"[0, 1, 2, 3, 4, 5]"
2,45,186,"[0, 1, 2, 3, 4, 5]"
2,46,187,"[0, 1, 2, 3, 4, 5]"
2,47,188,"[0, 1, 2, 3, 4, 5]"
2,48,186,"[0, 1, 2, 3, 4, 5]"
2,49,187,"[0, 1, 2, 3, 4, 5]"
2,50,188,"[0, 1, 2, 3, 4, 5]"
2,51,176,[0]
2,52,148,[0]
2,53,146,[0]
2,54,148,[0]
2,55,176,[0]
2,56,176,[0]
2,57,176,[0]
2,58,176,[0]
2,59,176,[0]
2,60,176,[0]
2,61,176,[0]
2,62,176,[0]
2,63,176,[0]
2,64,176,[0]
2,65,176,[0]
2,66,176,[0]
2,67,176,[0]
2,68,176,[0]
2,69,176,[0]
2,70,176,[0]
2,71,176,[0]
2,72,176,[0]
2,73,176,[0]
2,74,176,[0]
2,75,176,[0]
2,76,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
2,77,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
2,78,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,79,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
2,80,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
2,81,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,82,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,83,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,84,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,85,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,86,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,87,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,88,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,89,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,90,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,91,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,92,64,"[0, 2, 3, 4, 5, 6, 7, 8, 9]"
2,93,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,94,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,95,64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
2,96,176,[0]
2,97,176,[0]
2,98,176,[0]
2,99,176,[0]
2,100,177,[0]
